SOURCE,TARGET,RATING,TIME
7,20,4,27/12/2010
35,69,1,27/12/2010
35,70,1,27/12/2010
39,69,2,27/12/2010
69,39,2,27/12/2010
69,35,2,27/12/2010
1,71,1,27/12/2010
71,1,8,27/12/2010
7,28,2,27/12/2010
28,7,1,27/12/2010
4,72,4,28/12/2010
1,74,1,28/12/2010
74,1,1,28/12/2010
41,75,1,29/12/2010
68,64,1,29/12/2010
76,7,1,29/12/2010
7,76,1,29/12/2010
7,19,5,29/12/2010
32,23,1,29/12/2010
23,32,1,29/12/2010
23,20,1,29/12/2010
61,77,4,29/12/2010
1,78,1,30/12/2010
78,1,1,30/12/2010
60,41,1,31/12/2010
41,60,1,31/12/2010
78,60,1,31/12/2010
60,78,1,31/12/2010
57,4,2,01/01/2011
23,69,1,01/01/2011
69,23,1,01/01/2011
64,68,1,02/01/2011
35,79,1,02/01/2011
79,35,1,02/01/2011
41,4,1,03/01/2011
4,41,1,03/01/2011
1,68,2,03/01/2011
68,1,2,03/01/2011
69,28,3,04/01/2011
28,69,3,04/01/2011
64,80,1,05/01/2011
17,81,1,05/01/2011
81,17,1,05/01/2011
69,62,1,05/01/2011
62,69,1,05/01/2011
41,83,1,05/01/2011
41,104,1,05/01/2011
83,41,1,05/01/2011
41,86,1,05/01/2011
86,41,1,06/01/2011
104,41,1,06/01/2011
4,87,1,06/01/2011
87,4,1,06/01/2011
81,69,2,07/01/2011
69,81,2,07/01/2011
41,89,1,07/01/2011
89,41,1,07/01/2011
60,87,1,07/01/2011
87,60,1,07/01/2011
7,89,2,07/01/2011
89,7,2,07/01/2011
64,94,1,09/01/2011
41,70,1,09/01/2011
94,64,1,09/01/2011
70,95,1,09/01/2011
95,70,3,09/01/2011
70,41,1,09/01/2011
70,35,1,09/01/2011
39,17,3,10/01/2011
17,39,1,10/01/2011
70,96,1,11/01/2011
96,70,3,12/01/2011
15,97,2,13/01/2011
97,15,2,13/01/2011
69,99,4,13/01/2011
99,69,1,13/01/2011
88,7,3,14/01/2011
1,81,1,14/01/2011
70,15,1,14/01/2011
15,70,1,14/01/2011
81,1,1,15/01/2011
1,101,1,16/01/2011
62,54,2,16/01/2011
54,62,2,16/01/2011
101,1,1,16/01/2011
100,101,1,17/01/2011
101,103,1,17/01/2011
80,25,2,17/01/2011
100,60,2,18/01/2011
39,4,1,19/01/2011
4,39,1,19/01/2011
41,105,1,19/01/2011
72,4,4,20/01/2011
96,106,1,20/01/2011
106,96,1,20/01/2011
81,107,2,21/01/2011
107,81,3,21/01/2011
60,108,1,21/01/2011
108,60,1,21/01/2011
97,68,1,22/01/2011
68,97,1,22/01/2011
96,107,2,23/01/2011
7,109,1,24/01/2011
109,7,1,24/01/2011
41,110,1,25/01/2011
41,68,1,25/01/2011
68,41,1,25/01/2011
107,96,2,26/01/2011
23,7,5,26/01/2011
7,111,1,26/01/2011
111,7,1,26/01/2011
64,112,2,27/01/2011
112,64,2,27/01/2011
112,77,1,27/01/2011
112,115,2,27/01/2011
112,60,4,27/01/2011
60,112,4,27/01/2011
109,39,1,28/01/2011
39,109,1,28/01/2011
6,114,2,29/01/2011
114,39,1,29/01/2011
6,32,1,29/01/2011
39,114,1,29/01/2011
47,7,1,31/01/2011
1,119,1,31/01/2011
119,1,10,31/01/2011
100,1,3,31/01/2011
100,7,4,01/02/2011
7,100,2,01/02/2011
7,47,1,01/02/2011
7,122,1,01/02/2011
122,7,1,01/02/2011
23,108,1,01/02/2011
108,23,1,01/02/2011
108,104,1,01/02/2011
104,108,1,01/02/2011
60,56,2,01/02/2011
115,77,3,01/02/2011
119,127,10,02/02/2011
119,25,1,02/02/2011
1,2,8,02/02/2011
1,76,2,02/02/2011
76,1,2,02/02/2011
1,23,6,02/02/2011
54,129,1,02/02/2011
116,7,2,02/02/2011
7,116,2,02/02/2011
54,13,2,02/02/2011
13,54,2,02/02/2011
77,39,3,03/02/2011
77,15,1,03/02/2011
77,6,3,03/02/2011
77,1,3,03/02/2011
77,23,1,03/02/2011
77,28,3,03/02/2011
77,115,3,03/02/2011
77,112,1,03/02/2011
77,131,1,03/02/2011
77,61,3,03/02/2011
129,54,1,03/02/2011
54,2,2,03/02/2011
2,54,2,03/02/2011
127,119,10,03/02/2011
127,132,1,03/02/2011
132,127,2,03/02/2011
7,133,1,04/02/2011
133,7,1,04/02/2011
105,41,1,04/02/2011
41,64,1,05/02/2011
64,41,1,05/02/2011
57,110,1,05/02/2011
113,125,2,05/02/2011
125,113,2,05/02/2011
54,7,6,05/02/2011
7,54,5,05/02/2011
113,23,2,05/02/2011
113,135,2,05/02/2011
135,113,2,05/02/2011
78,36,2,07/02/2011
36,78,2,07/02/2011
2,132,2,07/02/2011
132,2,2,07/02/2011
96,15,4,08/02/2011
110,57,1,08/02/2011
110,41,1,08/02/2011
132,28,1,08/02/2011
28,132,1,08/02/2011
111,1,1,09/02/2011
132,134,1,10/02/2011
134,132,1,10/02/2011
132,100,1,10/02/2011
100,132,1,10/02/2011
41,137,1,10/02/2011
15,96,3,10/02/2011
137,41,1,10/02/2011
7,137,1,10/02/2011
137,7,1,10/02/2011
1,138,1,10/02/2011
138,1,1,10/02/2011
132,138,1,10/02/2011
138,132,1,10/02/2011
100,111,1,11/02/2011
111,100,1,11/02/2011
100,64,1,11/02/2011
64,100,1,11/02/2011
41,140,1,11/02/2011
140,41,1,11/02/2011
7,60,5,11/02/2011
60,100,2,12/02/2011
7,141,2,12/02/2011
141,134,5,12/02/2011
134,141,5,12/02/2011
141,7,3,12/02/2011
132,21,5,12/02/2011
139,132,1,12/02/2011
132,139,1,12/02/2011
78,132,3,12/02/2011
2,3,8,13/02/2011
132,142,1,13/02/2011
142,132,1,13/02/2011
110,142,1,13/02/2011
1,110,1,13/02/2011
110,1,1,13/02/2011
142,110,1,13/02/2011
110,76,2,14/02/2011
2,142,1,14/02/2011
142,2,1,14/02/2011
110,143,1,14/02/2011
143,110,1,14/02/2011
75,132,1,14/02/2011
110,134,1,14/02/2011
134,110,1,14/02/2011
132,144,1,15/02/2011
144,132,1,15/02/2011
1,145,1,15/02/2011
145,1,1,15/02/2011
146,2,1,15/02/2011
60,147,1,15/02/2011
41,148,1,15/02/2011
148,41,1,15/02/2011
23,113,4,16/02/2011
21,132,2,16/02/2011
93,81,2,16/02/2011
78,149,1,16/02/2011
149,150,1,16/02/2011
150,149,1,16/02/2011
132,75,1,16/02/2011
2,110,1,16/02/2011
110,2,1,16/02/2011
110,144,1,16/02/2011
144,110,1,16/02/2011
41,147,1,16/02/2011
147,41,1,16/02/2011
132,152,1,16/02/2011
104,153,2,16/02/2011
81,93,3,17/02/2011
152,154,1,17/02/2011
154,152,2,17/02/2011
152,75,1,17/02/2011
110,155,1,17/02/2011
132,156,4,17/02/2011
156,132,4,17/02/2011
132,113,3,17/02/2011
113,132,3,17/02/2011
155,110,1,17/02/2011
41,157,1,17/02/2011
157,41,1,17/02/2011
149,132,1,17/02/2011
132,149,1,17/02/2011
113,158,1,17/02/2011
158,113,2,17/02/2011
56,7,3,17/02/2011
7,56,3,17/02/2011
41,132,1,18/02/2011
153,104,2,18/02/2011
132,41,1,18/02/2011
114,1,2,18/02/2011
1,114,2,18/02/2011
1,111,2,18/02/2011
60,160,1,18/02/2011
160,60,1,18/02/2011
114,149,1,19/02/2011
149,114,1,19/02/2011
114,146,1,19/02/2011
78,146,1,19/02/2011
146,78,1,19/02/2011
122,78,1,19/02/2011
132,78,3,19/02/2011
146,114,1,19/02/2011
114,21,1,20/02/2011
7,161,3,20/02/2011
161,7,3,20/02/2011
21,114,1,20/02/2011
132,104,1,21/02/2011
104,132,1,21/02/2011
132,157,2,21/02/2011
157,132,2,21/02/2011
1,7,9,21/02/2011
7,1,7,21/02/2011
132,162,1,21/02/2011
162,132,1,21/02/2011
41,163,1,21/02/2011
163,41,1,21/02/2011
41,162,1,21/02/2011
162,41,1,21/02/2011
2,149,1,22/02/2011
149,2,1,22/02/2011
75,41,2,22/02/2011
143,81,1,23/02/2011
143,80,1,23/02/2011
80,143,1,23/02/2011
1,165,1,23/02/2011
165,1,1,23/02/2011
152,166,1,24/02/2011
166,152,1,24/02/2011
2,166,1,24/02/2011
166,2,1,24/02/2011
110,104,1,24/02/2011
41,167,1,24/02/2011
167,41,1,24/02/2011
41,168,1,24/02/2011
168,41,1,24/02/2011
132,169,2,25/02/2011
169,132,2,25/02/2011
81,149,1,25/02/2011
142,170,1,25/02/2011
170,142,1,25/02/2011
45,171,2,25/02/2011
171,45,2,25/02/2011
64,166,1,25/02/2011
166,64,1,25/02/2011
113,166,1,25/02/2011
166,113,1,25/02/2011
60,104,2,25/02/2011
60,172,1,25/02/2011
64,3,1,25/02/2011
113,173,2,25/02/2011
173,113,1,25/02/2011
41,174,1,25/02/2011
172,60,1,25/02/2011
166,156,2,26/02/2011
156,166,2,26/02/2011
175,7,2,26/02/2011
45,176,3,26/02/2011
161,144,1,26/02/2011
144,161,1,26/02/2011
7,166,1,26/02/2011
161,177,1,27/02/2011
177,161,1,27/02/2011
149,129,1,27/02/2011
129,149,1,27/02/2011
144,178,1,27/02/2011
178,144,1,27/02/2011
75,1,2,27/02/2011
75,179,1,27/02/2011
179,75,1,27/02/2011
75,62,2,27/02/2011
62,75,2,27/02/2011
143,173,1,28/02/2011
149,173,1,28/02/2011
173,149,1,28/02/2011
173,143,1,28/02/2011
166,180,1,28/02/2011
180,166,1,28/02/2011
174,41,1,28/02/2011
149,81,3,28/02/2011
144,143,1,28/02/2011
143,144,1,28/02/2011
60,148,2,28/02/2011
148,60,2,28/02/2011
2,156,1,28/02/2011
156,2,1,28/02/2011
1,19,6,01/03/2011
132,181,1,02/03/2011
181,132,1,02/03/2011
135,181,1,02/03/2011
181,135,1,02/03/2011
132,159,1,02/03/2011
159,132,1,02/03/2011
135,143,1,02/03/2011
143,135,1,02/03/2011
148,182,1,02/03/2011
182,148,1,02/03/2011
144,181,1,02/03/2011
181,144,1,02/03/2011
181,183,2,02/03/2011
183,181,2,02/03/2011
143,183,1,02/03/2011
183,143,1,02/03/2011
142,64,1,02/03/2011
64,142,1,02/03/2011
184,7,2,02/03/2011
7,184,2,02/03/2011
80,7,1,02/03/2011
7,78,1,02/03/2011
78,7,1,02/03/2011
147,179,1,02/03/2011
179,147,1,02/03/2011
7,185,1,03/03/2011
185,7,1,03/03/2011
176,45,1,03/03/2011
183,186,1,04/03/2011
186,183,1,04/03/2011
135,187,1,04/03/2011
187,135,1,04/03/2011
33,7,2,04/03/2011
7,33,2,04/03/2011
78,144,3,04/03/2011
7,188,1,05/03/2011
188,7,1,05/03/2011
104,189,2,05/03/2011
189,104,2,05/03/2011
104,190,1,05/03/2011
190,104,1,05/03/2011
104,110,2,06/03/2011
104,191,1,06/03/2011
191,104,1,06/03/2011
104,113,1,06/03/2011
113,104,1,06/03/2011
6,173,3,06/03/2011
110,7,1,07/03/2011
104,171,1,07/03/2011
171,104,1,07/03/2011
143,192,1,07/03/2011
192,143,1,07/03/2011
60,159,2,07/03/2011
159,60,2,07/03/2011
2,1,8,08/03/2011
57,25,2,08/03/2011
60,178,2,08/03/2011
7,35,2,09/03/2011
60,193,1,09/03/2011
193,60,1,09/03/2011
60,194,1,09/03/2011
194,178,1,09/03/2011
194,60,1,09/03/2011
178,194,1,09/03/2011
7,195,1,10/03/2011
195,7,1,10/03/2011
29,60,2,10/03/2011
62,196,1,10/03/2011
196,62,1,10/03/2011
60,29,2,10/03/2011
60,191,4,10/03/2011
7,156,1,12/03/2011
156,7,1,12/03/2011
60,198,1,12/03/2011
60,199,1,13/03/2011
199,60,1,13/03/2011
7,200,2,13/03/2011
200,7,2,13/03/2011
132,198,2,13/03/2011
198,132,1,13/03/2011
35,7,2,15/03/2011
194,201,1,15/03/2011
201,194,1,15/03/2011
100,202,1,15/03/2011
202,100,1,15/03/2011
142,203,1,15/03/2011
203,142,1,15/03/2011
7,204,1,15/03/2011
142,60,1,15/03/2011
7,110,3,16/03/2011
60,205,1,16/03/2011
206,201,1,16/03/2011
201,206,1,16/03/2011
207,7,2,16/03/2011
200,62,1,17/03/2011
60,75,3,17/03/2011
75,60,3,17/03/2011
75,7,3,17/03/2011
60,209,3,17/03/2011
7,210,1,18/03/2011
210,7,1,18/03/2011
142,143,2,18/03/2011
143,142,2,18/03/2011
60,142,1,18/03/2011
7,206,2,19/03/2011
149,209,1,20/03/2011
120,7,5,21/03/2011
7,207,3,21/03/2011
7,96,1,21/03/2011
104,179,-1,22/03/2011
200,179,-1,22/03/2011
149,179,-1,22/03/2011
96,7,2,22/03/2011
56,60,2,22/03/2011
202,211,1,23/03/2011
200,13,1,23/03/2011
13,200,1,23/03/2011
211,202,1,23/03/2011
104,149,1,23/03/2011
149,104,1,23/03/2011
104,60,3,23/03/2011
149,62,1,23/03/2011
167,211,1,23/03/2011
206,7,2,23/03/2011
202,212,1,24/03/2011
212,202,1,24/03/2011
212,209,1,24/03/2011
60,212,4,24/03/2011
212,60,4,24/03/2011
101,134,1,24/03/2011
60,213,2,24/03/2011
213,60,2,24/03/2011
134,101,1,24/03/2011
212,7,1,24/03/2011
212,132,1,24/03/2011
212,29,1,24/03/2011
143,153,1,24/03/2011
153,143,2,24/03/2011
35,110,2,24/03/2011
135,214,1,24/03/2011
143,215,1,25/03/2011
215,143,1,25/03/2011
29,212,1,25/03/2011
7,212,1,25/03/2011
135,152,1,25/03/2011
7,179,-1,25/03/2011
39,149,4,25/03/2011
149,39,4,25/03/2011
214,216,1,25/03/2011
216,214,1,25/03/2011
174,112,1,25/03/2011
153,202,1,26/03/2011
29,120,2,26/03/2011
60,217,2,26/03/2011
60,218,1,26/03/2011
218,60,1,26/03/2011
209,212,1,26/03/2011
217,60,2,26/03/2011
217,3,5,26/03/2011
135,179,-1,27/03/2011
176,219,1,27/03/2011
219,176,1,27/03/2011
219,110,1,27/03/2011
176,220,1,27/03/2011
1,223,7,28/03/2011
60,1,7,28/03/2011
60,7,7,28/03/2011
39,2,8,28/03/2011
202,176,1,28/03/2011
176,202,1,28/03/2011
60,224,4,28/03/2011
1,225,1,28/03/2011
225,1,1,28/03/2011
225,209,1,28/03/2011
29,1,4,29/03/2011
29,219,1,29/03/2011
219,29,1,29/03/2011
1,132,1,29/03/2011
1,227,1,29/03/2011
227,1,1,29/03/2011
60,228,1,29/03/2011
225,45,1,30/03/2011
60,214,2,30/03/2011
199,185,1,30/03/2011
185,199,1,30/03/2011
60,230,1,30/03/2011
60,231,1,30/03/2011
231,60,1,30/03/2011
7,232,3,31/03/2011
1,104,1,31/03/2011
104,1,2,31/03/2011
33,1,8,31/03/2011
62,149,1,31/03/2011
29,171,1,01/04/2011
206,233,1,01/04/2011
233,206,1,01/04/2011
232,7,2,01/04/2011
60,208,3,01/04/2011
208,60,3,01/04/2011
206,234,1,01/04/2011
234,206,1,01/04/2011
235,7,5,02/04/2011
222,7,2,02/04/2011
104,202,3,02/04/2011
202,104,3,02/04/2011
202,236,1,03/04/2011
236,202,1,03/04/2011
202,237,1,03/04/2011
237,202,10,03/04/2011
149,238,1,03/04/2011
238,149,1,03/04/2011
39,239,1,03/04/2011
239,64,1,03/04/2011
239,39,1,03/04/2011
202,135,2,04/04/2011
135,202,2,04/04/2011
2,7,5,04/04/2011
2,60,5,04/04/2011
2,62,8,04/04/2011
2,77,2,04/04/2011
7,2,5,04/04/2011
7,39,5,04/04/2011
7,41,5,04/04/2011
7,21,5,04/04/2011
7,72,2,04/04/2011
7,62,6,04/04/2011
208,62,1,04/04/2011
206,240,1,04/04/2011
240,206,2,04/04/2011
62,208,1,04/04/2011
231,241,1,04/04/2011
39,143,2,04/04/2011
143,39,2,04/04/2011
241,231,1,04/04/2011
60,242,6,04/04/2011
242,60,6,04/04/2011
135,2,1,05/04/2011
204,7,1,05/04/2011
1,64,3,05/04/2011
64,1,3,05/04/2011
202,244,1,05/04/2011
244,60,2,05/04/2011
202,56,1,05/04/2011
56,202,1,05/04/2011
164,60,5,05/04/2011
60,164,5,05/04/2011
204,80,1,05/04/2011
56,114,1,05/04/2011
149,80,5,05/04/2011
1,245,1,05/04/2011
241,80,3,05/04/2011
35,246,1,05/04/2011
246,35,1,05/04/2011
1,247,1,05/04/2011
247,1,1,05/04/2011
80,241,3,05/04/2011
80,64,1,05/04/2011
80,204,1,05/04/2011
80,149,5,05/04/2011
80,81,8,05/04/2011
228,60,2,06/04/2011
72,21,1,06/04/2011
35,248,2,06/04/2011
248,35,2,06/04/2011
244,245,2,06/04/2011
245,244,2,06/04/2011
245,250,1,06/04/2011
250,245,1,06/04/2011
60,251,1,06/04/2011
60,250,3,06/04/2011
250,60,3,06/04/2011
7,175,2,06/04/2011
166,206,1,06/04/2011
206,166,1,06/04/2011
60,244,4,06/04/2011
166,158,1,06/04/2011
215,249,1,07/04/2011
249,215,1,07/04/2011
60,243,5,07/04/2011
243,60,6,07/04/2011
60,252,1,07/04/2011
252,60,1,07/04/2011
253,95,1,07/04/2011
143,7,5,08/04/2011
7,143,4,08/04/2011
1,234,1,08/04/2011
234,1,1,08/04/2011
251,245,1,08/04/2011
245,251,1,08/04/2011
60,88,2,08/04/2011
88,60,4,08/04/2011
88,104,3,08/04/2011
104,88,3,08/04/2011
60,255,1,08/04/2011
255,60,1,08/04/2011
29,251,2,08/04/2011
166,7,3,08/04/2011
251,29,2,08/04/2011
251,60,5,08/04/2011
251,1,5,08/04/2011
251,202,5,08/04/2011
1,251,2,08/04/2011
164,163,1,08/04/2011
206,256,1,08/04/2011
256,206,1,08/04/2011
60,257,10,08/04/2011
6,258,1,09/04/2011
258,6,1,09/04/2011
64,219,1,09/04/2011
258,259,1,09/04/2011
259,258,2,09/04/2011
1,260,1,10/04/2011
7,260,4,10/04/2011
1,261,1,10/04/2011
261,1,1,10/04/2011
202,158,1,11/04/2011
256,153,1,11/04/2011
202,240,2,11/04/2011
240,202,2,11/04/2011
244,113,1,11/04/2011
244,114,1,11/04/2011
207,262,1,11/04/2011
262,207,1,11/04/2011
23,263,2,11/04/2011
60,264,4,12/04/2011
60,265,4,12/04/2011
265,60,4,12/04/2011
149,266,1,12/04/2011
266,149,1,12/04/2011
35,267,1,12/04/2011
267,35,1,12/04/2011
202,141,1,12/04/2011
141,202,1,12/04/2011
6,268,3,12/04/2011
266,60,5,12/04/2011
229,215,1,12/04/2011
215,229,1,12/04/2011
141,41,1,13/04/2011
242,141,1,13/04/2011
141,242,1,13/04/2011
215,221,2,13/04/2011
268,6,3,13/04/2011
221,215,2,13/04/2011
221,269,1,13/04/2011
269,221,1,13/04/2011
269,3,1,13/04/2011
41,141,1,13/04/2011
60,269,1,13/04/2011
153,7,1,13/04/2011
249,167,1,13/04/2011
221,171,1,13/04/2011
1,109,1,13/04/2011
202,230,1,14/04/2011
171,221,1,14/04/2011
171,235,2,14/04/2011
235,171,1,14/04/2011
64,7,3,14/04/2011
177,1,4,14/04/2011
60,77,4,14/04/2011
149,25,10,14/04/2011
1,271,1,14/04/2011
271,1,1,14/04/2011
221,272,1,14/04/2011
272,221,1,14/04/2011
202,153,4,14/04/2011
60,261,2,14/04/2011
261,60,2,14/04/2011
60,273,2,14/04/2011
23,231,1,14/04/2011
7,243,4,14/04/2011
230,202,2,15/04/2011
144,78,5,15/04/2011
144,153,1,15/04/2011
269,7,1,15/04/2011
7,269,1,15/04/2011
1,274,1,15/04/2011
274,1,1,15/04/2011
141,1,2,15/04/2011
1,141,1,15/04/2011
141,273,1,15/04/2011
141,275,1,15/04/2011
60,276,3,15/04/2011
276,60,3,15/04/2011
141,256,1,15/04/2011
270,277,1,15/04/2011
256,141,1,15/04/2011
277,270,1,15/04/2011
202,127,1,15/04/2011
167,249,1,15/04/2011
275,141,1,15/04/2011
221,202,4,15/04/2011
202,221,4,15/04/2011
221,64,1,15/04/2011
206,221,1,16/04/2011
221,206,1,16/04/2011
273,60,3,16/04/2011
60,279,2,16/04/2011
219,64,5,16/04/2011
219,109,1,16/04/2011
219,21,5,16/04/2011
279,60,8,16/04/2011
202,278,3,16/04/2011
278,202,3,16/04/2011
206,29,1,16/04/2011
29,206,1,16/04/2011
280,281,1,16/04/2011
206,282,1,16/04/2011
242,274,1,16/04/2011
282,206,1,16/04/2011
283,284,10,16/04/2011
7,240,2,16/04/2011
7,285,1,16/04/2011
202,286,1,16/04/2011
286,202,1,16/04/2011
256,287,1,16/04/2011
287,256,1,16/04/2011
202,288,1,16/04/2011
288,202,1,16/04/2011
257,265,4,17/04/2011
257,242,5,17/04/2011
257,104,5,17/04/2011
257,60,5,17/04/2011
202,134,2,17/04/2011
134,202,1,17/04/2011
37,219,2,17/04/2011
219,37,2,17/04/2011
290,215,1,17/04/2011
215,290,1,17/04/2011
284,283,10,17/04/2011
245,291,1,17/04/2011
291,245,1,17/04/2011
292,202,1,17/04/2011
217,149,1,17/04/2011
149,217,1,17/04/2011
224,257,4,17/04/2011
224,60,5,17/04/2011
224,144,1,17/04/2011
144,224,1,17/04/2011
224,171,1,17/04/2011
171,224,1,17/04/2011
135,293,1,17/04/2011
21,60,5,18/04/2011
199,104,1,18/04/2011
7,294,1,18/04/2011
294,7,1,18/04/2011
293,204,1,18/04/2011
204,293,1,18/04/2011
231,28,1,18/04/2011
274,295,2,18/04/2011
295,274,2,18/04/2011
202,292,1,18/04/2011
249,64,1,18/04/2011
230,101,2,18/04/2011
1,296,1,18/04/2011
64,249,1,18/04/2011
229,297,1,18/04/2011
297,229,1,18/04/2011
4,282,2,19/04/2011
282,4,2,19/04/2011
298,299,1,19/04/2011
299,298,1,19/04/2011
257,29,5,19/04/2011
271,202,1,19/04/2011
202,271,1,19/04/2011
272,7,2,19/04/2011
7,272,2,19/04/2011
37,301,1,19/04/2011
301,37,1,19/04/2011
60,299,2,19/04/2011
299,60,3,19/04/2011
29,302,1,19/04/2011
135,303,1,19/04/2011
303,135,1,19/04/2011
64,301,1,19/04/2011
301,64,1,19/04/2011
214,60,3,19/04/2011
29,304,1,20/04/2011
304,29,1,20/04/2011
7,254,1,20/04/2011
254,7,1,20/04/2011
17,254,1,20/04/2011
7,135,2,20/04/2011
284,21,1,20/04/2011
282,305,1,20/04/2011
305,282,1,20/04/2011
282,306,1,20/04/2011
306,282,1,20/04/2011
60,229,2,20/04/2011
229,60,2,20/04/2011
144,282,1,20/04/2011
282,144,1,20/04/2011
206,307,1,21/04/2011
39,308,2,21/04/2011
307,206,1,21/04/2011
1,180,1,21/04/2011
180,1,1,21/04/2011
235,20,1,21/04/2011
29,198,1,21/04/2011
198,29,1,21/04/2011
198,60,2,21/04/2011
29,274,2,21/04/2011
280,29,1,21/04/2011
274,29,2,21/04/2011
29,280,1,21/04/2011
202,206,3,21/04/2011
206,202,3,21/04/2011
274,204,1,21/04/2011
204,274,1,21/04/2011
204,186,2,21/04/2011
186,204,2,21/04/2011
7,266,2,21/04/2011
60,223,7,21/04/2011
257,279,4,21/04/2011
15,167,1,21/04/2011
167,15,1,21/04/2011
171,309,1,21/04/2011
309,171,1,21/04/2011
310,282,1,21/04/2011
257,274,5,22/04/2011
28,231,1,22/04/2011
202,204,2,22/04/2011
204,202,2,22/04/2011
21,308,6,22/04/2011
1,311,1,22/04/2011
311,1,1,22/04/2011
1,312,1,22/04/2011
312,1,1,22/04/2011
60,312,4,22/04/2011
312,60,2,22/04/2011
206,273,2,22/04/2011
273,206,2,22/04/2011
304,93,1,23/04/2011
93,304,1,23/04/2011
93,62,3,23/04/2011
312,221,1,23/04/2011
21,93,8,23/04/2011
93,21,8,23/04/2011
7,314,2,23/04/2011
257,314,4,23/04/2011
7,249,1,23/04/2011
314,257,4,23/04/2011
274,108,1,23/04/2011
254,17,2,23/04/2011
41,233,2,23/04/2011
45,313,1,23/04/2011
45,315,1,24/04/2011
60,202,3,24/04/2011
64,316,1,24/04/2011
316,64,1,24/04/2011
316,274,1,24/04/2011
64,317,1,24/04/2011
317,64,1,24/04/2011
45,318,1,24/04/2011
318,45,1,24/04/2011
319,284,1,24/04/2011
76,110,3,24/04/2011
257,275,4,24/04/2011
312,62,1,24/04/2011
62,312,1,24/04/2011
313,45,10,24/04/2011
284,319,1,24/04/2011
320,60,1,24/04/2011
240,7,4,24/04/2011
214,221,1,24/04/2011
221,214,1,24/04/2011
108,7,1,24/04/2011
7,108,1,24/04/2011
202,322,1,24/04/2011
322,202,1,24/04/2011
314,7,4,24/04/2011
249,323,1,24/04/2011
323,249,1,24/04/2011
215,324,1,25/04/2011
7,219,1,25/04/2011
219,7,2,25/04/2011
7,228,1,25/04/2011
228,7,1,25/04/2011
324,215,1,25/04/2011
62,304,1,25/04/2011
304,62,1,25/04/2011
62,325,1,25/04/2011
62,202,2,25/04/2011
202,62,4,25/04/2011
7,326,1,25/04/2011
326,7,1,25/04/2011
62,285,1,25/04/2011
